id,teamId,teamRank,teamTotal,shard,dbnos,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
26,15,1,16,steam,3,3,9,342.863,alive,3,2,4,1,3,118.977,3icb,account.7097c67162f5492f8c54da433be1fc3b,0,11185.5,0,0.0,0,1667,0,1271.39,4,1,WeapMini14_C
28,9,1,16,steam,3,5,7,256.424,alive,0,1,8,2,2,262.361,3icb,account.7097c67162f5492f8c54da433be1fc3b,1,8968.54,0,0.0,0,1546,0,1045.19,3,1,WeapFNFal_C
24,11,1,15,steam,0,2,10,156.131,alive,0,5,26,0,0,0.0,3icb,account.7097c67162f5492f8c54da433be1fc3b,1,5345.5,0,6.90308,0,1622,0,2811.1,3,1,WeapMini14_C
48,5,1,16,steam,5,2,9,853.983,alive,0,4,2,3,7,179.287,mmG_-Hy-26642424,account.c1da45587b1d4093b0b0c573ec17e0d0,1,2272.73,0,0.0,0,1823,0,3053.03,6,1,WeapMini14_C
54,12,1,17,steam,5,2,7,609.114,alive,2,5,4,2,4,164.596,mmG_-Hy-26642424,account.c1da45587b1d4093b0b0c573ec17e0d0,1,7169.11,0,0.0,0,1804,0,1570.65,2,1,WeapHK416_C
50,5,1,16,steam,3,5,11,785.239,alive,2,6,2,1,6,62.26,mmG_-Hy-26642424,account.c1da45587b1d4093b0b0c573ec17e0d0,3,4344.22,0,2.62495,0,1837,0,3758.12,6,1,WeapMG3_C
52,15,1,17,steam,1,3,8,481.472,alive,0,3,4,2,3,111.184,YuRe_Doi-G-P,account.cfcfb2c528cc46c4b802d6aa59e49c7a,0,3777.44,0,0.0,0,1651,0,1674.09,10,1,WeapBerylM762_C
48,14,1,16,steam,2,4,4,287.701,alive,0,3,7,1,2,27.105,YuRe_Doi-G-P,account.cfcfb2c528cc46c4b802d6aa59e49c7a,0,2045.37,0,0.0,0,1285,0,2313.52,3,1,WeapBerylM762_C
46,1,1,18,steam,3,1,8,479.697,alive,0,3,3,1,3,104.461,YuRe_Doi-G-P,account.cfcfb2c528cc46c4b802d6aa59e49c7a,2,3806.57,0,0.0,0,1508,1,2318.06,11,1,WeapFNFal_C
46,9,1,15,steam,4,2,7,496.935,alive,0,2,1,3,6,182.719,YuRe_Doi-G-P,account.cfcfb2c528cc46c4b802d6aa59e49c7a,2,5467.02,0,0.0,0,1399,1,1740.04,7,1,WeapBerylM762_C
