teamTotal,DBNOs,assists,boosts,damageDealt,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
15,5,3,12,866.192,1,0,2,2,5,91.9001,1,3687.89,0,97.2396,0,1622,1,2998.05,5,5,WeapMk12_C
16,0,2,3,0.0,0,1,29,0,0,0.0,0,5561.21,0,0.0,0,1726,0,2380.82,2,1,WeapM24_C
25,4,1,5,478.576,1,3,6,1,5,178.644,0,4107.89,0,0.0,0,1286,0,1987.52,6,1,WeapKar98k_C
15,4,6,10,968.258,2,1,3,1,5,208.481,1,6077.8,0,0.0,0,1498,1,1565.23,4,5,WeapMini14_C
15,2,2,4,284.671,1,2,6,3,3,67.6583,0,3944.81,0,0.0,0,1016,0,1133.17,6,10,WeapHK416_C
17,4,2,5,429.278,0,9,36,0,0,0.0,0,2436.4,0,0.0,0,1653,0,1606.08,2,5,WeapMini14_C
18,5,3,4,725.201,3,3,2,2,5,119.435,0,2465.55,0,0.0,1,824,0,845.816,9,4,WeapBerylM762_C
17,1,3,6,205.151,0,6,16,1,1,9.30986,0,7252.36,0,0.0,0,1095,0,558.8,4,4,WeapBerylM762_C
26,0,1,0,91.84,0,0,100,0,0,0.0,0,0.0,0,0.0,0,185,0,194.602,2,26,WeapHK416_C
16,1,1,1,206.049,0,1,13,1,1,104.564,0,3226.93,0,0.0,0,1649,0,1895.0,8,1,WeapMini14_C
17,6,3,6,768.977,0,2,5,1,3,74.3187,0,1350.51,0,0.0,0,913,0,1742.67,6,5,WeapFNFal_C
16,1,0,3,78.0,1,0,23,1,1,16.3035,1,4970.6,0,0.0,0,1248,0,1306.92,7,10,WeapDP12_C
16,5,0,5,570.299,2,4,1,1,5,187.091,0,4035.06,0,0.0,0,1302,0,1518.4,7,8,WeapBerylM762_C
18,1,2,7,292.661,1,5,9,1,2,161.217,1,5323.24,0,0.0,0,1648,0,2080.85,9,1,WeapHK416_C
17,8,1,10,807.826,1,9,1,3,12,383.528,0,2092.04,0,0.0,0,1866,0,1595.93,4,1,WeapMini14_C
15,2,4,6,286.833,0,3,11,2,2,60.0942,1,5883.3,0,0.0,0,1618,0,1707.51,7,2,WeapBerylM762_C
16,4,5,8,469.949,0,3,4,2,4,103.053,3,0.0,0,0.0,0,1762,0,1918.65,6,1,WeapFNFal_C
16,5,1,5,789.422,3,4,3,2,5,146.774,0,4077.48,0,0.0,0,1496,0,2651.87,8,4,WeapAWM_C
19,1,4,9,501.613,1,5,5,1,3,213.91,0,6225.24,0,0.0,0,1776,1,1726.24,5,1,WeapFNFal_C
16,5,2,3,543.578,1,0,5,2,3,306.639,0,4852.75,0,0.0,0,1556,0,1556.63,6,1,WeapMk14_C
17,1,0,10,205.03,0,0,10,1,2,28.1481,0,7532.44,0,0.0,0,1413,0,1225.98,10,3,WeapBerylM762_C
